date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2018-11-10;Ireland;Argentina;28;17;2018 Autumn Internationals;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Autumn;6.8;5.6;9.9;4.2;;174.0;11.7;33.3;986.2
2018-11-10;England;New Zealand;15;16;2018 Autumn International;Twickenham;London;England;FALSE;FALSE;Autumn;10.9;9.4;14.1;7.9;;183.0;17.0;59.0;994.1
2018-11-10;France;South Africa;26;29;2018 end-of-year test;Stade de France;Saint-Denis;France;FALSE;FALSE;Autumn;11.7;10.5;12.8;6.0;;193.0;20.8;57.0;1002.6
2018-11-10;Wales;Australia;9;6;2018 Autumn International;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2018-11-03;England;South Africa;12;11;2018 Autumn International;Twickenham;London;England;FALSE;FALSE;Autumn;8.5;2.7;14.0;0.0;;167.0;15.6;50.0;1022.8
2018-11-03;Ireland;Italy;54;7;2018 Autumn Internationals;Soldier Field;Chicago;United States;TRUE;FALSE;;;;;;;;;;
2018-11-03;Wales;Scotland;21;10;2018 Autumn international;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2018-10-27;New Zealand;Australia;37;20;2018 Autumn International;Nissan Stadium;Yokohama;Japan;TRUE;FALSE;;;;;;;;;;
2018-10-06;Argentina;Australia;34;45;2018 Rugby Championship;Estadio Padre Ernesto Martearena;Salta;Argentina;FALSE;FALSE;Spring;18.6;8.5;25.2;;;;7.4;;1015.7
2018-10-06;South Africa;New Zealand;30;32;2018 Rugby Championship;Loftus Versfeld Stadium;Pretoria;South Africa;FALSE;FALSE;Spring;20.7;10.4;28.6;;;;;;
2018-09-29;Argentina;New Zealand;17;35;2018 Rugby Championship;José Amalfitani Stadium;Buenos Aires;Argentina;FALSE;FALSE;Spring;19.3;16.5;21.5;2.0;;117.0;22.8;;
2018-09-29;South Africa;Australia;23;12;2018 Rugby Championship;Nelson Mandela Bay Stadium;Port Elizabeth;South Africa;FALSE;FALSE;;;;;;;;;;
2018-09-15;New Zealand;South Africa;34;36;2018 Rugby Championship;Westpac Stadium;Wellington;New Zealand;FALSE;FALSE;Spring;13.0;9.5;16.3;0.0;;9.0;25.6;;1023.2
2018-09-15;Australia;Argentina;19;23;2018 Rugby Championship;Robina Stadium;Gold Coast;Australia;FALSE;FALSE;;;;;;;;;;
2018-09-08;Australia;South Africa;23;18;2018 Rugby Championship;Lang Park;Brisbane;Australia;FALSE;FALSE;Spring;;17.5;25.0;1.2;;;;;
2018-09-08;New Zealand;Argentina;46;24;2018 Rugby Championship;Trafalgar Park;Nelson;New Zealand;FALSE;FALSE;;;;;;;;;;
2018-08-25;New Zealand;Australia;40;12;2018 Rugby Championship;Eden Park;Auckland;New Zealand;FALSE;FALSE;Winter;12.6;9.7;15.1;1.5;;233.0;27.3;;1014.0
2018-08-25;Argentina;South Africa;32;19;2018 Rugby Championship;Malvinas Argentinas;Mendoza;Argentina;FALSE;FALSE;;;;;;;;;;
2018-08-18;South Africa;Argentina;34;21;2018 Rugby Championship;Kings Park Stadium;Durban;South Africa;FALSE;FALSE;;;;;;;;;;
2018-08-18;Australia;New Zealand;13;38;2018 Rugby Championship;Stadium Australia;Sydney;Australia;FALSE;FALSE;Winter;14.4;5.8;23.6;0.0;;298.0;22.7;;1011.3
2018-06-23;New Zealand;France;49;14;2018 French tour to New Zealand;Forsyth Barr Stadium;Dunedin;New Zealand;FALSE;FALSE;;;;;;;;;;
2018-06-23;South Africa;England;10;25;2018 England rugby union tour of South Africa;Newlands;Cape Town;South Africa;FALSE;FALSE;Winter;14.3;13.0;16.9;0.0;;351.0;27.7;;1019.4
2018-06-23;Argentina;Scotland;15;44;2018 Summer International;Estadio Centenario;Resistencia;Argentina;FALSE;FALSE;Winter;21.3;14.2;27.6;;;50.0;12.2;;1009.7
